AccNo,FromDate,Todate,CustomerType,AccountType
87478901,20250101,20250115,M,D
87478901,20250116,20250131,M,D
87478901,20250201,20250215,M,D
87478901,20250216,20250128,M,D
87478901,20250301,20250315,M,D
87478901,20250316,20250331,M,D
87478901,20250401,20250415,M,D
87478901,20250416,20250430,M,D
87478901,20250501,20250515,M,D
87478901,20250516,20250531,M,D
87478901,20250601,20250615,M,D
87478901,20250616,20250630,M,D
87478901,20250701,20250715,M,D
87478901,20250716,20250731,M,D
87478901,20250801,20250815,M,D
87478901,20250816,20250831,M,D
87478901,20250901,20250915,M,D
87478901,20250916,20250930,M,D
87478901,20251001,20251015,M,D
87478901,20251016,20250131,M,D
87478901,20251101,20251115,M,D
87478901,20251116,20251130,M,D
87478901,20251201,20251215,M,D
87478901,20251216,20251230,M,D
87478902,20250101,20250115,M,D
87478902,20250116,20250131,M,D
87478902,20250201,20250215,M,D
87478902,20250216,20250128,M,D
87478902,20250301,20250315,M,D
87478902,20250316,20250331,M,D
87478902,20250401,20250415,M,D
87478902,20250416,20250430,M,D
87478902,20250501,20250515,M,D
87478902,20250516,20250531,M,D
87478902,20250601,20250615,M,D
87478902,20250616,20250630,M,D
87478902,20250701,20250715,M,D
87478902,20250716,20250731,M,D
87478902,20250801,20250815,M,D
87478902,20250816,20250831,M,D
87478902,20250901,20250915,M,D
87478902,20250916,20250930,M,D
87478902,20251001,20251015,M,D
87478902,20251016,20250131,M,D
87478902,20251101,20251115,M,D
87478902,20251116,20251130,M,D
87478902,20251201,20251215,M,D
87478902,20251216,20251230,M,D
87478903,20250101,20250115,M,D
87478903,20250116,20250131,M,D
87478903,20250201,20250215,M,D
87478903,20250216,20250128,M,D
87478903,20250301,20250315,M,D
87478903,20250316,20250331,M,D
87478903,20250401,20250415,M,D
87478903,20250416,20250430,M,D
87478903,20250501,20250515,M,D
87478903,20250516,20250531,M,D
87478903,20250601,20250615,M,D
87478903,20250616,20250630,M,D
87478903,20250701,20250715,M,D
87478903,20250716,20250731,M,D
87478903,20250801,20250815,M,D
87478903,20250816,20250831,M,D
87478903,20250901,20250915,M,D
87478903,20250916,20250930,M,D
87478903,20251001,20251015,M,D
87478903,20251016,20250131,M,D
87478903,20251101,20251115,M,D
87478903,20251116,20251130,M,D
87478903,20251201,20251215,M,D
87478903,20251216,20251230,M,D
87478904,20250101,20250115,M,D
87478904,20250116,20250131,M,D
87478904,20250201,20250215,M,D
87478904,20250216,20250128,M,D
87478904,20250301,20250315,M,D
87478904,20250316,20250331,M,D
87478904,20250401,20250415,M,D
87478904,20250416,20250430,M,D
87478904,20250501,20250515,M,D
87478904,20250516,20250531,M,D
87478904,20250601,20250615,M,D
87478904,20250616,20250630,M,D
87478904,20250701,20250715,M,D
87478904,20250716,20250731,M,D
87478904,20250801,20250815,M,D
87478904,20250816,20250831,M,D
87478904,20250901,20250915,M,D
87478904,20250916,20250930,M,D
87478904,20251001,20251015,M,D
87478904,20251016,20250131,M,D
87478904,20251101,20251115,M,D
87478904,20251116,20251130,M,D
87478904,20251201,20251215,M,D
87478904,20251216,20251230,M,D
87478905,20250101,20250115,M,D
87478905,20250116,20250131,M,D
87478905,20250201,20250215,M,D
87478905,20250216,20250128,M,D
87478905,20250301,20250315,M,D
87478905,20250316,20250331,M,D
87478905,20250401,20250415,M,D
87478905,20250416,20250430,M,D
87478905,20250501,20250515,M,D
87478905,20250516,20250531,M,D
87478905,20250601,20250615,M,D
87478905,20250616,20250630,M,D
87478905,20250701,20250715,M,D
87478905,20250716,20250731,M,D
87478905,20250801,20250815,M,D
87478905,20250816,20250831,M,D
87478905,20250901,20250915,M,D
87478905,20250916,20250930,M,D
87478905,20251001,20251015,M,D
87478905,20251016,20250131,M,D
87478905,20251101,20251115,M,D
87478905,20251116,20251130,M,D
87478905,20251201,20251215,M,D
87478905,20251216,20251230,M,D
87478906,20250101,20250115,M,D
87478906,20250116,20250131,M,D
87478906,20250201,20250215,M,D
87478906,20250216,20250128,M,D
87478906,20250301,20250315,M,D
87478906,20250316,20250331,M,D
87478906,20250401,20250415,M,D
87478906,20250416,20250430,M,D
87478906,20250501,20250515,M,D
87478906,20250516,20250531,M,D
87478906,20250601,20250615,M,D
