FromDate,Todate,CustomerType,AccountType
20250101,20250115,M,D
20250116,20250131,M,D
20250201,20250215,M,D
20250216,20250128,M,D
20250301,20250315,M,D
20250316,20250331,M,D
20250401,20250415,M,D
20250416,20250430,M,D
20250501,20250515,M,D
20250516,20250531,M,D
20250601,20250615,M,D
20250616,20250630,M,D
20250701,20250715,M,D
20250716,20250731,M,D
20250801,20250815,M,D
20250816,20250831,M,D
20250901,20250915,M,D
20250916,20250930,M,D
20251001,20251015,M,D
20251016,20250131,M,D
20251101,20251115,M,D
20251116,20251130,M,D
20251201,20251215,M,D
20251216,20251230,M,D
